iter	F1	Logloss
0	0.5634816754	0.6930891056
1	0.5854279351	0.6930363154
2	0.6322869955	0.6930006559
3	0.6205684149	0.6929308725
4	0.6151533373	0.6928739998
5	0.6145989787	0.6928203263
6	0.6191180823	0.6927502899
7	0.613204703	0.692704249
8	0.6216135755	0.692650591
9	0.6203592814	0.6925869533
10	0.6207923741	0.6925344836
11	0.6213881442	0.6924900867
12	0.6193045564	0.6924392916
13	0.6203592814	0.6923766191
14	0.6164053076	0.6923323578
15	0.6152916289	0.6922784662
16	0.6170021027	0.6922110393
17	0.6157575758	0.6921510396
18	0.6143990238	0.6921010386
19	0.612507664	0.6920304967
20	0.6068455134	0.691978876
21	0.6109917102	0.691921715
22	0.6101172116	0.6918538758
23	0.6143031785	0.691827411
24	0.6153846154	0.6917829331
25	0.6173886701	0.6917427456
26	0.6183252427	0.6916794029
27	0.6211892545	0.6916275939
28	0.6251497006	0.6915855796
29	0.6204401568	0.6915117621
30	0.6220211161	0.6914783417
31	0.6233844304	0.6914111983
32	0.6211031175	0.6913606899
33	0.625674865	0.6913096341
34	0.6237593985	0.691242923
35	0.6238366857	0.6911921395
36	0.6236106939	0.691094533
37	0.625	0.6910566761
38	0.6218589161	0.6909783975
39	0.6192214112	0.6909299046
40	0.6209628275	0.6908671566
41	0.6247723133	0.6908465618
42	0.6202301635	0.6907813849
43	0.6226928896	0.6907486397
44	0.624357812	0.6907073973
45	0.6223162988	0.6906591334
46	0.6225445754	0.690605992
47	0.6237533998	0.6905588402
48	0.6268836649	0.6905031368
49	0.627816161	0.6904681668
50	0.6279209107	0.6904203401
51	0.6273217496	0.6903862325
52	0.62484994	0.6903449912
53	0.6232277526	0.6903107893
54	0.6237593985	0.6902605974
55	0.6228519747	0.6902068471
56	0.6239855726	0.6901592733
57	0.625524266	0.6900964003
58	0.6288782816	0.6900633584
59	0.6279904306	0.6899945547
60	0.6305125149	0.6899627587
61	0.6281287247	0.6899227097
62	0.6387249115	0.6898888298
63	0.6382978723	0.6898355673
64	0.6342331652	0.6897931412
65	0.632798574	0.6897496831
66	0.6369012419	0.6896930554
67	0.6352592593	0.6896423628
68	0.6347980998	0.6895631548
69	0.632986627	0.6895057482
70	0.634986635	0.6894695199
71	0.6363098758	0.6894379641
72	0.6353427896	0.6894106037
73	0.639011474	0.6893329678
74	0.6407995297	0.6892810558
75	0.6419970631	0.6892381618
76	0.6413874192	0.6891863992
77	0.6452179	0.6891286522
78	0.6439882698	0.6890780481
79	0.6420620972	0.6890585863
80	0.6388970373	0.6890311653
81	0.6374079529	0.6889864052
82	0.6390602056	0.6889395011
83	0.6402116402	0.6889020029
84	0.6411539594	0.6888523233
85	0.6420620972	0.6888237384
86	0.6441573693	0.688772183
87	0.6435904957	0.6887442355
88	0.6445941987	0.6887158082
89	0.6427310182	0.6886809943
90	0.6416201937	0.6886621814
91	0.643045388	0.688619839
92	0.6402349486	0.688576828
93	0.6424597365	0.6885470918
94	0.6440082039	0.6884996179
95	0.643442623	0.6884512205
96	0.6443148688	0.688409947
