iter	Passed	Remaining
0	1389	4146012
1	2556	3813551
2	3668	3646276
3	4853	3617052
4	6063	3614123
5	7164	3557132
6	8267	3517313
7	9455	3518476
8	10628	3514351
9	11718	3486190
10	12729	3441561
11	13922	3449278
12	15190	3472759
13	16273	3453434
14	17302	3425943
15	18428	3419704
16	19418	3390273
17	20600	3395581
18	21755	3396129
19	22843	3386598
20	23869	3368996
21	25118	3382996
22	26335	3391545
23	27410	3381755
24	28498	3374210
25	29622	3371307
26	30719	3365506
27	31826	3361126
28	32896	3353174
29	34091	3357964
30	35179	3352278
31	36319	3351624
32	37446	3349779
33	38549	3345863
34	39785	3353342
35	40735	3336951
36	41835	3333256
37	42990	3334030
38	44076	3329499
39	45191	3327243
40	46233	3319818
41	47497	3328201
42	48741	3334794
43	49879	3333986
44	51005	3332342
45	52071	3326894
46	53257	3329146
47	54338	3324836
48	55549	3328427
49	56698	3328225
50	57887	3330208
51	58981	3326806
52	60019	3320323
53	61087	3315676
54	62166	3311770
55	63283	3309975
56	64336	3304865
57	65418	3301374
58	66402	3293112
59	67548	3292966
60	68701	3293154
61	69772	3289449
62	70800	3283788
63	71854	3279476
64	73010	3279862
65	74141	3279079
66	75215	3275808
67	76319	3273878
68	77454	3273311
69	78606	3273394
70	79705	3271283
71	80915	3273687
72	81938	3268565
73	83065	3267636
74	84176	3266059
75	85294	3264753
76	86322	3260078
77	87476	3260171
78	88584	3258567
79	89796	3260740
80	90879	3258209
81	92052	3258867
82	93235	3259876
83	94338	3258058
84	95453	3256651
85	96546	3254530
86	97626	3251967
87	98766	3251445
88	99823	3248200
89	100882	3245049
90	102081	3246426
91	103192	3244960
92	104211	3240637
93	105376	3240882
94	106497	3239758
95	107536	3236187
96	108604	3233502
97	109677	3231005
98	110757	3228753
99	111890	3228030
100	112960	3225532
101	114166	3226883
102	115261	3225096
103	116532	3228176
104	117636	3226595
105	118877	3228754
106	120187	3232705
107	121380	3233433
108	122461	3231192
109	123625	3231113
110	124691	3228487
111	125809	3227248
112	126938	3226267
113	128011	3223877
114	129050	3220659
115	130048	3216450
116	131248	3217268
117	132322	3214997
118	133350	3211624
119	134514	3211528
120	135633	3210377
121	136695	3207872
50092	751009
133	50443	750254
134	50811	749757
135	51281	750739
136	51659	750377
137	52089	750761
138	52420	749721
139	52838	749931
140	53330	751170
141	53702	750703
142	54072	750201
143	54439	749675
144	54842	749638
145	55197	748952
146	55591	748777
147	55990	748686
148	56401	748743
149	56735	747778
150	57090	747089
151	57491	747012
152	57940	747546
153	58279	746662
154	58660	746318
155	59003	745491
156	59347	744684
157	59744	744535
158	60097	743843
159	60470	743404
160	60859	743160
161	61158	741829
162	61502	741049
163	61981	741884
164	62407	742086
165	62771	741537
166	63178	741494
167	63586	741465
168	64011	741629
169	64405	741424
170	64778	740976
171	65135	740348
172	65551	740395
173	66034	741181
174	66466	741384
175	66884	741424
176	67229	740661
177	67625	740465
178	67993	739950
179	68347	739292
180	68722	738864
181	69069	738133
182	69492	738215
183	69887	737996
184	70291	737870
185	70682	737607
186	71066	737265
187	71478	737216
188	71910	737369
189	72290	736986
190	72627	736163
191	73004	735747
192	73319	734712
193	73687	734215
194	74028	733449
195	74418	733171
196	74805	732862
197	75121	731867
198	75484	731323
199	75856	730873
200	76296	731077
201	76714	731069
202	77102	730764
203	77474	730312
204	77821	729623
205	78205	729286
206	78567	728744
207	78909	728011
208	79243	727221
209	79619	726812
210	80007	726510
211	80416	726404
212	80765	725750
213	81125	725204
214	81546	725199
215	81904	724623
216	82282	724238
217	82669	723928
218	83029	723377
219	83410	723018
220	83813	722842
221	84236	722840
222	84558	721968
223	84957	721763
224	85343	721439
225	85714	720991
226	86053	720274
227	86405	719666
228	86755	719049
229	87139	718707
230	87534	718466
231	87912	718076
232	88301	717779
233	88672	717336
234	89040	716874
235	89390	716262
236	89748	715714
237	90077	714938
238	90429	714351
239	90873	714496
240	91259	714170
241	91624	713683
242	91965	713016
243	92356	712734
244	92736	712370
245	93136	712154
246	93579	712267
247	93954	711856
248	94335	711495
249	94710	711083
250	95070	710569
251	95488	710479
252	95920	710495
253	96256	709796
254	96608	709222
255	97022	709100
256	97412	708797
257	97788	708399
258	98138	707810
259	98499	707302
260	98927	707276
261	99246	706465
262	99599	705903
263	99958	705390
264	100321	704898
265	100669	704305
266	101046	703917
267	101433	703600
268	101866	703598
269	102274	703421
270	102672	703177
271	103097	703107
272	103475	702725
273	103801	701985
274	104235	701981
275	104638	701762
276	105034	701493
277	105394	700984
278	105794	700748
279	106157	700257
280	106625	700464
281	107024	700212
282	107433	700023
283	107777	699414
284	108133	698884
285	108503	698445
286	108936	698408
287	109321	698061
288	109670	697486
289	110084	697326
290	110459	696919
291	110793	696253
292	111206	696086
293	111578	695655
294	111934	695133
295	112318	694782
296	112620	693926
297	113007	693594
298	113373	693132
299	113792	692993
300	114205	692823
301	114591	692479
302	114936	691892
303	115302	691432
304	115696	691146
305	116060	690675
306	116467	690459
307	116894	690360
308	117276	689996
309	117697	689859
310	118043	689282
311	118450	689060
312	118829	688682
313	119219	688360
314	119615	688073
315	120007	687761
316	120397	687443
317	120794	687162
318	121193	686890
319	121663	687020
320	122089	686897
321	122423	686255
322	122837	686062
323	123278	686023
324	123626	685460
325	124022	685167
326	124442	685005
327	124856	684807
328	125262	684563
329	125677	684372
330	126122	684339
331	126477	683815
332	126898	683651
333	127260	683168
334	127622	682682
335	128047	682538
336	128504	682558
337	128971	682635
338	129385	682420
339	129690	681636
340	130059	681191
341	130436	680788
342	130797	680300
343	131167	679857
344	131586	679671
345	131986	679385
346	132377	679055
347	132772	678740
348	133138	678283
349	133571	678159
350	133945	677743
351	134394	677697
352	134769	677284
353	135172	677008
354	135568	676696
355	135988	676502
356	136386	676200
357	136795	675952
358	137112	675252
359	137474	674772
360	137837	674295
361	138177	673710
362	138514	673113
363	138878	672647
364	139284	672383
365	139727	672295
366	140083	671789
367	140493	671543
368	140829	670942
369	141224	670625
370	141628	670348
371	141966	669759
372	142367	669472
373	142705	668882
374	143036	668268
375	143391	667763
376	143728	667176
377	144071	666617
378	144436	666159
379	144804	665718
380	145127	665071
381	145432	664346
382	145787	663847
383	146129	663292
384	146536	663028
385	146951	662804
386	147318	662363
387	147675	661877
388	148086	661630
389	148453	661189
390	148819	660742
391	149235	660519
392	149696	660494
393	150108	660249
394	150485	659850
395	150844	659372
396	151236	659042
397	151638	658752
398	152034	658436
399	152426	658101
400	152784	657619
401	153161	657223
402	153645	657280
403	154026	656901
404	154367	656346
405	154694	655734
406	155080	655378
407	155524	655263
408	155903	654869
409	156301	654561
410	156686	654194
411	157074	653842
412	157417	653302
413	157750	652721
414	158091	652176
415	158516	651976
416	158870	651483
417	159321	651388
418	159834	651546
419	160177	651008
420	160524	650484
421	160904	650098
422	161293	649751
423	161622	649160
424	162033	648895
425	162441	648622
134077	426187
431	134380	425849
432	134696	425553
433	135015	425269
434	135326	424957
435	135738	424959
436	136117	424860
437	136422	424530
438	136759	424296
439	137081	424018
440	137418	423785
441	137722	423449
442	138046	423175
443	138409	423021
444	138717	422697
445	139061	422483
446	139432	422352
447	139746	422046
448	140026	421638
449	140342	421338
450	140662	421051
451	140955	420684
452	141237	420282
453	141521	419889
454	141827	419561
455	142125	419206
456	142474	419005
457	142817	418786
458	143133	418485
459	143440	418161
460	143774	417912
461	144106	417660
462	144426	417369
463	144757	417112
464	145013	416640
465	145352	416405
466	145671	416115
467	145939	415677
468	146249	415361
469	146505	414891
470	146837	414636
471	147118	414238
472	147397	413834
473	147717	413547
474	148053	413302
475	148424	413155
476	148792	412999
477	149150	412814
478	149461	412500
479	149836	412361
480	150155	412068
481	150534	411938
482	150902	411779
483	151234	411519
484	151506	411097
485	151807	410753
486	152141	410501
487	152454	410190
488	152808	409988
489	153187	409855
490	153527	409614
491	153900	409461
492	154217	409161
493	154540	408875
494	154868	408601
495	155209	408363
496	155540	408098
497	155840	407751
